Category,Car Name,Capacity,Mileage,Cleaning,Pickup,Drop off,Price
Standard Elite SUV,Nissan Pathfinder or similar,7person,Unlimited mileage,Enhanced cleaning,"4750 Sunrise Highway, Massapequa Park, USA
8.6 mi from Hempstead city center",Counter in terminal shuttle to car,$205
Standard SUV,Ford Edge or similar,5person,Unlimited mileage,Enhanced cleaning,"652a Broadway Mall, Hicksville, USA
6.6 mi from Hempstead city center",Counter in terminal shuttle to car,$205
Standard SUV,Ford Edge or similar,5person,Unlimited mileage,Enhanced cleaning,"1500 Old Northern Boulevard, Roslyn, USA
6.9 mi from Hempstead city center",Counter in terminal shuttle to car,$205
Standard SUV,Ford Edge or similar,5person,Unlimited mileage,Enhanced cleaning,"4750 Sunrise Highway, Massapequa Park, USA
8.6 mi from Hempstead city center",Counter in terminal shuttle to car,$205
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"652a Broadway Mall, Hicksville, USA
6.6 mi from Hempstead city center",Counter in terminal shuttle to car,$189
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"1500 Old Northern Boulevard, Roslyn, USA
6.9 mi from Hempstead city center",Counter in terminal shuttle to car,$193
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"652a Broadway Mall, Hicksville, USA
6.6 mi from Hempstead city center",Counter in terminal shuttle to car,$193
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"1500 Old Northern Boulevard, Roslyn, USA
6.9 mi from Hempstead city center",Counter in terminal shuttle to car,$189
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"4750 Sunrise Highway, Massapequa Park, USA
8.6 mi from Hempstead city center",Counter in terminal shuttle to car,$193
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"4750 Sunrise Highway, Massapequa Park, USA
8.6 mi from Hempstead city center",Counter in terminal shuttle to car,$189
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"2050 New Hyde Park Road, New Hyde Park, USA
5 mi from Hempstead city center",Counter in terminal shuttle to car,$218
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"235 Sunrise Highway, Freeport, USA
3.6 mi from Hempstead city center",Counter in terminal shuttle to car,$104
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$104
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$104
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"125 West John Street, Hicksville, USA
6.4 mi from Hempstead city center",Counter in terminal shuttle to car,$104
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$77
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"235 Sunrise Highway, Freeport, USA
3.6 mi from Hempstead city center",Counter in terminal shuttle to car,$77
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$77
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"125 West John Street, Hicksville, USA
6.4 mi from Hempstead city center",Counter in terminal shuttle to car,$77
Economy,"Chevrolet Spark, Ford Fiesta or similar",4person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$76
Economy,"Chevrolet Spark, Ford Fiesta or similar",4person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$76
Economy,"Chevrolet Spark, Ford Fiesta or similar",4person,Unlimited mileage,Enhanced cleaning,"125 West John Street, Hicksville, USA
6.4 mi from Hempstead city center",Counter in terminal shuttle to car,$76
Economy,"Chevrolet Spark, Ford Fiesta or similar",4person,Unlimited mileage,Enhanced cleaning,"235 Sunrise Highway, Freeport, USA
3.6 mi from Hempstead city center",Counter in terminal shuttle to car,$76
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"56 Horton Avenue, Lynbrook, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$116
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"686 Burnside Ave, Inwood, USA
8.4 mi from Hempstead city center",Counter in terminal shuttle to car,$116
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"1297 Woodfield Road, Rockville Centre, USA
3.1 mi from Hempstead city center",Counter in terminal shuttle to car,$116
Midsize,"Mazda 3, Toyota Corola, Chevrolet Cruze, Hyundai Elantra or similar",5person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$82
Midsize,"Mazda 3, Toyota Corola, Chevrolet Cruze, Hyundai Elantra or similar",5person,Unlimited mileage,Enhanced cleaning,"125 West John Street, Hicksville, USA
6.4 mi from Hempstead city center",Counter in terminal shuttle to car,$82
Midsize,"Mazda 3, Toyota Corola, Chevrolet Cruze, Hyundai Elantra or similar",5person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$82
Midsize,"Mazda 3, Toyota Corola, Chevrolet Cruze, Hyundai Elantra or similar",5person,Unlimited mileage,Enhanced cleaning,"235 Sunrise Highway, Freeport, USA
3.6 mi from Hempstead city center",Counter in terminal shuttle to car,$82
Standard SUV,Chevrolet Equinox or similar,5person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$122
Standard SUV,Chevrolet Equinox or similar,5person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$122
Midsize,"Mazda 3, Toyota Corola, Chevrolet Cruze, Hyundai Elantra or similar",5person,Unlimited mileage,Enhanced cleaning,"1297 Woodfield Road, Rockville Centre, USA
3.1 mi from Hempstead city center",Counter in terminal shuttle to car,$91
Midsize,"Mazda 3, Toyota Corola, Chevrolet Cruze, Hyundai Elantra or similar",5person,Unlimited mileage,Enhanced cleaning,"56 Horton Avenue, Lynbrook, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$91
Midsize,"Mazda 3, Toyota Corola, Chevrolet Cruze, Hyundai Elantra or similar",5person,Unlimited mileage,Enhanced cleaning,"686 Burnside Ave, Inwood, USA
8.4 mi from Hempstead city center",Counter in terminal shuttle to car,$91
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"1297 Woodfield Road, Rockville Centre, USA
3.1 mi from Hempstead city center",Counter in terminal shuttle to car,$86
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"686 Burnside Ave, Inwood, USA
8.4 mi from Hempstead city center",Counter in terminal shuttle to car,$86
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"56 Horton Avenue, Lynbrook, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$86
Economy,"Chevrolet Spark, Ford Fiesta or similar",4person,Unlimited mileage,Enhanced cleaning,"686 Burnside Ave, Inwood, USA
8.4 mi from Hempstead city center",Counter in terminal shuttle to car,$85
Economy,"Chevrolet Spark, Ford Fiesta or similar",4person,Unlimited mileage,Enhanced cleaning,"1297 Woodfield Road, Rockville Centre, USA
3.1 mi from Hempstead city center",Counter in terminal shuttle to car,$85
Economy,"Chevrolet Spark, Ford Fiesta or similar",4person,Unlimited mileage,Enhanced cleaning,"56 Horton Avenue, Lynbrook, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$85
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$172
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$172
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"125 West John Street, Hicksville, USA
6.4 mi from Hempstead city center",Counter in terminal shuttle to car,$172
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"1297 Woodfield Road, Rockville Centre, USA
3.1 mi from Hempstead city center",Counter in terminal shuttle to car,$181
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"686 Burnside Ave, Inwood, USA
8.4 mi from Hempstead city center",Counter in terminal shuttle to car,$181
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"56 Horton Avenue, Lynbrook, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$181
Fullsize,"Chevrolet Malibu, Toyota Camry or similar",5person,Unlimited mileage,Enhanced cleaning,"235 Sunrise Highway, Freeport, USA
3.6 mi from Hempstead city center",Counter in terminal shuttle to car,$91
Fullsize,"Chevrolet Malibu, Toyota Camry or similar",5person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$91
Fullsize,"Chevrolet Malibu, Toyota Camry or similar",5person,Unlimited mileage,Enhanced cleaning,"125 West John Street, Hicksville, USA
6.4 mi from Hempstead city center",Counter in terminal shuttle to car,$91
Fullsize,"Chevrolet Malibu, Toyota Camry or similar",5person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$91
Standard,VW Jetta or similar,5person,Unlimited mileage,Enhanced cleaning,"235 Sunrise Highway, Freeport, USA
3.6 mi from Hempstead city center",Counter in terminal shuttle to car,$91
Standard,VW Jetta or similar,5person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$91
Standard,VW Jetta or similar,5person,Unlimited mileage,Enhanced cleaning,"125 West John Street, Hicksville, USA
6.4 mi from Hempstead city center",Counter in terminal shuttle to car,$91
Standard,VW Jetta or similar,5person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$91
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"1500 Old Northern Boulevard, Roslyn, USA
6.9 mi from Hempstead city center",Counter in terminal shuttle to car,$189
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"652a Broadway Mall, Hicksville, USA
6.6 mi from Hempstead city center",Counter in terminal shuttle to car,$193
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"652a Broadway Mall, Hicksville, USA
6.6 mi from Hempstead city center",Counter in terminal shuttle to car,$189
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"1500 Old Northern Boulevard, Roslyn, USA
6.9 mi from Hempstead city center",Counter in terminal shuttle to car,$193
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"4750 Sunrise Highway, Massapequa Park, USA
8.6 mi from Hempstead city center",Counter in terminal shuttle to car,$193
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"4750 Sunrise Highway, Massapequa Park, USA
8.6 mi from Hempstead city center",Counter in terminal shuttle to car,$189
Standard SUV,Chevrolet Equinox or similar,5person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$187
Standard SUV,Chevrolet Equinox or similar,5person,Unlimited mileage,Enhanced cleaning,"686 Burnside Ave, Inwood, USA
8.4 mi from Hempstead city center",Counter in terminal shuttle to car,$187
Standard SUV,Chevrolet Equinox or similar,5person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$187
Standard SUV,Chevrolet Equinox or similar,5person,Unlimited mileage,Enhanced cleaning,"56 Horton Avenue, Lynbrook, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$187
Standard SUV,Chevrolet Equinox or similar,5person,Unlimited mileage,Enhanced cleaning,"1297 Woodfield Road, Rockville Centre, USA
3.1 mi from Hempstead city center",Counter in terminal shuttle to car,$187
Standard Elite SUV,Nissan Pathfinder or similar,7person,Unlimited mileage,Enhanced cleaning,"652a Broadway Mall, Hicksville, USA
6.6 mi from Hempstead city center",Counter in terminal shuttle to car,$201
Standard Elite SUV,Nissan Pathfinder or similar,7person,Unlimited mileage,Enhanced cleaning,"1500 Old Northern Boulevard, Roslyn, USA
6.9 mi from Hempstead city center",Counter in terminal shuttle to car,$201
Standard Elite SUV,Nissan Pathfinder or similar,7person,Unlimited mileage,Enhanced cleaning,"4750 Sunrise Highway, Massapequa Park, USA
8.6 mi from Hempstead city center",Counter in terminal shuttle to car,$201
Standard SUV,Chevrolet Equinox or similar,5person,Unlimited mileage,Enhanced cleaning,"125 West John Street, Hicksville, USA
6.4 mi from Hempstead city center",Counter in terminal shuttle to car,$192
Standard SUV,Ford Edge or similar,5person,Unlimited mileage,Enhanced cleaning,"1500 Old Northern Boulevard, Roslyn, USA
6.9 mi from Hempstead city center",Counter in terminal shuttle to car,$201
Standard SUV,Ford Edge or similar,5person,Unlimited mileage,Enhanced cleaning,"652a Broadway Mall, Hicksville, USA
6.6 mi from Hempstead city center",Counter in terminal shuttle to car,$201
Standard SUV,Ford Edge or similar,5person,Unlimited mileage,Enhanced cleaning,"4750 Sunrise Highway, Massapequa Park, USA
8.6 mi from Hempstead city center",Counter in terminal shuttle to car,$201
Standard Elite SUV,Nissan Pathfinder or similar,7person,Unlimited mileage,Enhanced cleaning,"652a Broadway Mall, Hicksville, USA
6.6 mi from Hempstead city center",Counter in terminal shuttle to car,$205
Standard Elite SUV,Nissan Pathfinder or similar,7person,Unlimited mileage,Enhanced cleaning,"1500 Old Northern Boulevard, Roslyn, USA
6.9 mi from Hempstead city center",Counter in terminal shuttle to car,$205
Standard Elite SUV,Nissan Pathfinder or similar,7person,Unlimited mileage,Enhanced cleaning,"4750 Sunrise Highway, Massapequa Park, USA
8.6 mi from Hempstead city center",Counter in terminal shuttle to car,$205
Standard SUV,Ford Edge or similar,5person,Unlimited mileage,Enhanced cleaning,"652a Broadway Mall, Hicksville, USA
6.6 mi from Hempstead city center",Counter in terminal shuttle to car,$205
Standard SUV,Ford Edge or similar,5person,Unlimited mileage,Enhanced cleaning,"1500 Old Northern Boulevard, Roslyn, USA
6.9 mi from Hempstead city center",Counter in terminal shuttle to car,$205
Standard SUV,Ford Edge or similar,5person,Unlimited mileage,Enhanced cleaning,"4750 Sunrise Highway, Massapequa Park, USA
8.6 mi from Hempstead city center",Counter in terminal shuttle to car,$205
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"652a Broadway Mall, Hicksville, USA
6.6 mi from Hempstead city center",Counter in terminal shuttle to car,$189
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"1500 Old Northern Boulevard, Roslyn, USA
6.9 mi from Hempstead city center",Counter in terminal shuttle to car,$193
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"652a Broadway Mall, Hicksville, USA
6.6 mi from Hempstead city center",Counter in terminal shuttle to car,$193
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"1500 Old Northern Boulevard, Roslyn, USA
6.9 mi from Hempstead city center",Counter in terminal shuttle to car,$189
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"4750 Sunrise Highway, Massapequa Park, USA
8.6 mi from Hempstead city center",Counter in terminal shuttle to car,$193
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"4750 Sunrise Highway, Massapequa Park, USA
8.6 mi from Hempstead city center",Counter in terminal shuttle to car,$189
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"2050 New Hyde Park Road, New Hyde Park, USA
5 mi from Hempstead city center",Counter in terminal shuttle to car,$218
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"369 Old Country Road, Carle Place, USA
3 mi from Hempstead city center",Counter in terminal shuttle to car,$217
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"55 Sunrise Highway, Lynbrook, USA
3.9 mi from Hempstead city center",Counter in terminal shuttle to car,$228
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"369 Old Country Road, Carle Place, USA
3 mi from Hempstead city center",Counter in terminal shuttle to car,$228
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"2050 New Hyde Park Road, New Hyde Park, USA
5 mi from Hempstead city center",Counter in terminal shuttle to car,$229
Fullsize,"Chevrolet Malibu, Toyota Camry or similar",5person,Unlimited mileage,Enhanced cleaning,"56 Horton Avenue, Lynbrook, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$101
Fullsize,"Chevrolet Malibu, Toyota Camry or similar",5person,Unlimited mileage,Enhanced cleaning,"1297 Woodfield Road, Rockville Centre, USA
3.1 mi from Hempstead city center",Counter in terminal shuttle to car,$101
Fullsize,"Chevrolet Malibu, Toyota Camry or similar",5person,Unlimited mileage,Enhanced cleaning,"686 Burnside Ave, Inwood, USA
8.4 mi from Hempstead city center",Counter in terminal shuttle to car,$101
Standard,VW Jetta or similar,5person,Unlimited mileage,Enhanced cleaning,"1297 Woodfield Road, Rockville Centre, USA
3.1 mi from Hempstead city center",Counter in terminal shuttle to car,$101
Standard,VW Jetta or similar,5person,Unlimited mileage,Enhanced cleaning,"56 Horton Avenue, Lynbrook, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$101
Standard,VW Jetta or similar,5person,Unlimited mileage,Enhanced cleaning,"686 Burnside Ave, Inwood, USA
8.4 mi from Hempstead city center",Counter in terminal shuttle to car,$101
Midsize SUV,Mazda Cx-5 or similar,5person,Unlimited mileage,Enhanced cleaning,"55 Sunrise Highway, Lynbrook, USA
3.9 mi from Hempstead city center",Counter in terminal shuttle to car,$240
Premium,Buick Regal or similar,5person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$115
Premium,Buick Regal or similar,5person,Unlimited mileage,Enhanced cleaning,"235 Sunrise Highway, Freeport, USA
3.6 mi from Hempstead city center",Counter in terminal shuttle to car,$115
Premium,Buick Regal or similar,5person,Unlimited mileage,Enhanced cleaning,"686 Burnside Ave, Inwood, USA
8.4 mi from Hempstead city center",Counter in terminal shuttle to car,$115
Premium,Buick Regal or similar,5person,Unlimited mileage,Enhanced cleaning,"1297 Woodfield Road, Rockville Centre, USA
3.1 mi from Hempstead city center",Counter in terminal shuttle to car,$115
Premium,Buick Regal or similar,5person,Unlimited mileage,Enhanced cleaning,"56 Horton Avenue, Lynbrook, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$115
Premium,Buick Regal or similar,5person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$115
Standard SUV,Ford Edge or similar,5person,Unlimited mileage,Enhanced cleaning,"652a Broadway Mall, Hicksville, USA
6.6 mi from Hempstead city center",Counter in terminal shuttle to car,$201
Standard SUV,Ford Edge or similar,5person,Unlimited mileage,Enhanced cleaning,"1500 Old Northern Boulevard, Roslyn, USA
6.9 mi from Hempstead city center",Counter in terminal shuttle to car,$201
Standard SUV,Ford Edge or similar,5person,Unlimited mileage,Enhanced cleaning,"4750 Sunrise Highway, Massapequa Park, USA
8.6 mi from Hempstead city center",Counter in terminal shuttle to car,$201
Midsize,Toyota Corolla or similar,5person,Unlimited mileage,Enhanced cleaning,"652a Broadway Mall, Hicksville, USA
6.6 mi from Hempstead city center",Counter in terminal shuttle to car,$139
Midsize,Toyota Corolla or similar,5person,Unlimited mileage,Enhanced cleaning,"4750 Sunrise Highway, Massapequa Park, USA
8.6 mi from Hempstead city center",Counter in terminal shuttle to car,$139
Midsize,Toyota Corolla or similar,5person,Unlimited mileage,Enhanced cleaning,"1500 Old Northern Boulevard, Roslyn, USA
6.9 mi from Hempstead city center",Counter in terminal shuttle to car,$139
Midsize,"Mazda 3, Toyota Corola, Chevrolet Cruze, Hyundai Elantra or similar",5person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$144
Midsize,"Mazda 3, Toyota Corola, Chevrolet Cruze, Hyundai Elantra or similar",5person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$144
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"235 Sunrise Highway, Freeport, USA
3.6 mi from Hempstead city center",Counter in terminal shuttle to car,$104
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$104
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$104
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"125 West John Street, Hicksville, USA
6.4 mi from Hempstead city center",Counter in terminal shuttle to car,$104
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$77
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"235 Sunrise Highway, Freeport, USA
3.6 mi from Hempstead city center",Counter in terminal shuttle to car,$77
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$77
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"125 West John Street, Hicksville, USA
6.4 mi from Hempstead city center",Counter in terminal shuttle to car,$77
Economy,"Chevrolet Spark, Ford Fiesta or similar",4person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$76
Economy,"Chevrolet Spark, Ford Fiesta or similar",4person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$76
